name,name_en,address,district,is_roastery,source_url,confidence,operating_status
Coffee ARCO,Coffee ARCO,서울 강남구 신사동 519-17,sinsa,true,https://bwissue.com/cafeinfo/211167,중간,미확인
마일스톤 커피 로스터스 신사,Milestone Coffee Roasters,서울 강남구 논현로159길 49 1층,sinsa,true,https://milestonecoffee.kr/,높음,미확인
테일러커피 신사,Tailor Coffee,서울 강남구 강남대로160길 31,sinsa,true,https://www.instagram.com/tailor_coffee/,높음,미확인
히트커피 로스터스 신사,Heat Coffee Roasters,서울 강남구 도산대로17길 34,sinsa,true,https://www.diningcode.com/profile.php?rid=W8MA4dJjqVbX,중간,미확인
커피휘엘 신사역점,Coffee Fiel,서울 강남구 논현로149길 62,sinsa,true,https://coffeefiel.com/contact,중간,미확인
마크레인 커피로스터스,Mark Lane Coffee Roasters,서울 강남구 선릉로157길 23-5,apgujeong,true,https://bwissue.com/cafetour/140721,중간-높음,미확인
벙커컴퍼니 압구정,Bunker Company,서울 강남구 압구정로42길 10,apgujeong,true,https://bunkercompany.co.kr/,높음,미확인
카멜커피 도산2호점,Camel Coffee,서울 강남구 언주로164길 14-1,apgujeong,true,https://cmlandco.kr/,높음,미확인
리플렉트커피 로스팅 랩,Reflect Coffee Roasting Lab,서울 서초구 남부순환로347길 53 104호,yangjae,true,https://reflect-coffee.co.kr/,높음,미확인
프릳츠커피컴퍼니 양재점,Fritz Coffee Company,서울 서초구 강남대로37길 24-11,yangjae,true,https://fritz.co.kr/,높음,미확인
테라로사 양재역점,Terarosa,서울 서초구 강남대로 206 엔스빌딩 1층,yangjae,true,https://terarosa.com/,높음,미확인
커피플랜트 양재,Coffee Plant,서울 서초구 양재동,yangjae,true,https://coffeeplant.co.kr/,중간,미확인
커피한약방,Coffee Hanyakbang,서울 중구 삼일대로12길 16-6,euljiro,true,https://coffeehanyakbang.com/,높음,미확인
리사르커피 을지로점,LEESAR Coffee,"서울 중구 창경궁로28-24, 1층",euljiro,true,https://leesarcoffee.com/offline-store/,높음,미확인
챔프커피 을지로점,Champ Coffee,서울 중구 을지로 157 라열 3층 381호,euljiro,true,https://champcoffee.kr/,높음,미확인
연흔 로스터스,Yeonhun Roasters,서울 종로구 자하문로7길 29,seochon,true,https://kr.trip.com/moments/detail/jongno-gu-2016460-130030469/,중간,미확인
아키비스트,Archivist,서울 종로구 효자로13길 52,seochon,true,https://archivist.kr/,높음,미확인
통인동커피공방 위켄드,Tongin-dong Coffee Workshop Weekend,"서울 종로구 자하문로9길 16, 1층",seochon,true,https://www.diningcode.com/profile.php?rid=MHUgbDtqIUKF,중간,미확인
커피투어 광화문점,Coffee Tour Roasters,"서울 종로구 사직로10길 12, 신우빌딩 1층",seochon,true,https://coffeexplorer.com/204,중간,미확인
